architecture	subclass	class	eco_count	mean_occ	total_count
Coil,NB,LRR,PF07714	CNLX	CNL	3	1	3
PF07887,NB	NX	NL	10	1	10
TIR,NB,PF06552	TNX	TNL	1	1	1
TIR,NB,LRR,PF06984	TNLX	TNL	9	1	9
Coil,NB,PF04548	CNX	CNL	26	1	26
TIR,PF04859,Coil	TX	TNL	18	1	18
Coil,NB	CN	CNL	68	13.01	885
TIR,NB,LRR,PF13966	TNLX	TNL	1	1	1
PF02671,PF03106,TIR,NB,LRR	TNLX	TNL	5	1	5
LRR,TIR	TL	TNL	12	1.08	13
NB,LRR,Coil	CNL	CNL	10	1.2	12
Coil,PF00412,PF12315,RPW8	RCX	RNL	1	1	1
PF06552,TIR,NB,LRR	TNLX	TNL	1	1	1
PF03106,TIR,NB,LRR	TNLX	TNL	2	1	2
RPW8,NB,PF00412,PF12315,PF13041,PF01535	RNX	RNL	2	1	2
RPW8,Coil,NB	RCN	RNL	18	1	18
NB,LRR,Coil,PF00412	CNLX	CNL	1	1	1
NB,LRR,PF06552	NLX	NL	1	1	1
PF02362,TIR,NB,LRR,PF00642	TNLX	TNL	3	1	3
PF03106,NB	NX	NL	1	1	1
TIR,NB,LRR,Coil,PF00170	TNLX	TNL	1	1	1
PF14363,PF00004,Coil,NB	CNX	CNL	1	1	1
PF03634,PF02362,TIR,NB,PF00642	TNX	TNL	1	1	1
TIR,NB,PF08381	TNX	TNL	37	1	37
PF06552,TIR	TX	TNL	1	1	1
NB,LRR,PF04548,PF07714	NLX	NL	1	1	1
Coil,NB,PF00743	CNX	CNL	1	1	1
NB,Coil	CN	CNL	2	1	2
PF02671,PF03106,TIR,NB,LRR,PF00069	TNLX	TNL	19	1	19
LRR,NB	NL	NL	3	1	3
RPW8,NB,PF00412,PF12315	RNX	RNL	50	1.02	51
Coil,NB,LRR	CNL	CNL	68	14.29	972
TIR,NB,PF05879	TNX	TNL	1	1	1
TIR,NB,LRR	TNL	TNL	68	71.16	4839
TIR,PF03953	TX	TNL	1	1	1
Coil,NB,LRR,PF04548	CNLX	CNL	1	1	1
Coil,NB,PF08268	CNX	CNL	1	1	1
NB,LRR,PF00412,PF12315	NLX	NL	5	1	5
NB,TIR,LRR	TNL	TNL	3	1	3
NB,TIR	TN	TNL	3	1	3
TIR	T	TNL	68	27.9	1897
TIR,NB,PF12315	TNX	TNL	1	1	1
RPW8,Coil	RC	RNL	2	1	2
RPW8	R	RNL	66	7.32	483
TIR,PF14299	TX	TNL	55	2.25	124
PF02671,PF03106,NB,LRR,PF00069	NLX	NL	19	1	19
TIR,LRR	TL	TNL	62	1.77	110
TIR,NB,LRR,PF03501	TNLX	TNL	2	1	2
TIR,NB,LRR,PF01434	TNLX	TNL	1	1	1
TIR,Coil,NB,LRR	TNL	TNL	27	1	27
PF13676,NB	NX	NL	2	1	2
RPW8,NB,PF12315	RNX	RNL	1	1	1
PF02671,PF03106,TIR,NB	TNX	TNL	1	1	1
PF07714,TIR,NB,LRR	TNLX	TNL	1	1	1
PF03106,TIR,NB,LRR,PF00069	TNLX	TNL	5	1	5
NB,LRR,PF03106,PF13442	NLX	NL	7	1	7
TIR,NB,LRR,PF00069	TNLX	TNL	1	1	1
TIR,NB,Coil	TN	TNL	2	1	2
NB,LRR,PF03106	NLX	NL	64	1.7	109
TIR,PF09331,PF02902	TX	TNL	1	1	1
RPW8,Coil,NB,LRR	RCNL	RNL	45	1	45
TIR,PF04859	TX	TNL	28	1	28
RPW8,PF12315	RX	RNL	1	1	1
PF03106,NB,LRR,PF00069	NLX	NL	1	1	1
NB,Coil,PF00412,PF12315	CNX	CNL	1	1	1
NB,LRR	NL	NL	68	10.87	739
PF04852,TIR,NB,LRR	TNLX	TNL	17	1	17
Coil,NB,LRR,PF00069	CNLX	CNL	14	1	14
NB,LRR,Coil,PF00412,PF12315	CNLX	CNL	26	1	26
TIR,NB,LRR,PF01485	TNLX	TNL	1	1	1
TIR,NB	TN	TNL	68	19.68	1338
PF04864,TIR,LRR	TLX	TNL	1	1	1
TIR,Coil	T	TNL	49	1.02	50
PF00635,TIR	TX	TNL	39	1	39
RPW8,NB	RN	RNL	68	3.88	264
Coil,TIR,NB	TN	TNL	1	1	1
NB,PF05553	NX	NL	1	1	1
PF07887,TIR,NB	TNX	TNL	1	1	1
RPW8,NB,LRR	RNL	RNL	1	1	1
NB,PF08381	NX	NL	10	1	10
NB,LRR,TIR	TNL	TNL	37	1.05	39
PF03106,TIR,NB,PF00069	TNX	TNL	2	1	2
PF00380,TIR	TX	TNL	1	1	1
Coil,NB,LRR,PF04548,PF07714	CNLX	CNL	2	1	2
Coil,PF00412,PF12315,RPW8,NB,PF13041	RCNX	RNL	1	1	1
TIR,LRR,PF01451	TLX	TNL	1	1	1
TIR,NB,LRR,Coil	TNL	TNL	1	1	1
TIR,PF01451	TX	TNL	1	1	1
