idnew	idold	status	use	NLRs	majorclass	majorsubclass	pairs	putpairs	IDs	paralogs_ogold
4.14	4	orthogroup	1	10	TNL	TNL	0	0	0	both
6.18	6	orthogroup	1	17	CNL	CN	0	0	0	both
7.17	7	orthogroup	1	9	CNL	CNL	0	0	0	complex
24.1	24	orthogroup	1	63	TNL	TN	0	0	0	none
102.6	102	orthogroup	1	21	TNL	TNL	0	0	0	none
16.5	16	orthogroup	1	7	TNL	TNL	0	0	0	both
10.5	10	orthogroup	1	24	TNL	TNL	0	0	1	complex
318.1	318	orthogroup	1	4	NL	N	0	0	0	none
373	373	orthogroup	0	2	TNL	TN	0	0	0	none
102.10	102	orthogroup	1	6	TNL	TN	0	0	0	none
188.3	188	orthogroup	1	5	CNL	CN	0	0	0	complex
141.1	141	orthogroup	1	48	TNL	TL	0	0	0	none
14.1	14	orthogroup	1	38	CNL	CN	0	0	0	complex
43.3	43	orthogroup	1	12	NL	NLX	9	0	12	complex
230.1	230	orthogroup	1	16	TNL	TNL	0	0	0	none
66.1	66	orthogroup	1	58	CNL	CNL	0	0	0	none
170.1	170	orthogroup	1	27	TNL	TNL	0	0	0	complex
223.1	223	orthogroup	1	18	TNL	TN	0	0	0	none
61.1	61	orthogroup	1	56	CNL	CN	0	0	0	none
122.1	122	orthogroup	1	7	TNL	TN	0	0	0	complex
283.1	283	orthogroup	1	7	TNL	T	0	0	0	none
38.1	38	orthogroup	1	57	TNL	TN	0	0	0	none
340	340	orthogroup	0	3	TNL	T	0	0	0	none
163.7	163	orthogroup	1	7	TNL	TNL	0	0	0	both
415	415	orthogroup	0	2	NL	N	0	0	0	none
265.1	265	orthogroup	1	8	RNL	R	0	0	0	none
2.45	2	orthogroup	1	5	RNL	R	0	0	0	both
21.3	21	orthogroup	1	5	TNL	TNL	4	0	0	complex
13.3	13	orthogroup	1	4	TNL	TN	0	3	0	complex
96.1	96	orthogroup	1	54	TNL	TNL	43	5	0	none
303.1	303	orthogroup	1	4	CNL	CNL	0	0	0	none
269.1	269	orthogroup	1	7	CNL	CNL	0	0	0	none
226.1	226	orthogroup	1	14	NL	N	0	0	0	simple
275.1	275	orthogroup	1	8	TNL	T	0	0	1	none
76.1	76	orthogroup	1	52	NL	N	0	0	0	none
123.1	123	orthogroup	1	52	TNL	T	0	0	0	none
135.6	135	orthogroup	1	3	NL	N	0	0	0	both
1.3	1	orthogroup	1	19	TNL	TNL	0	0	0	both
412	412	orthogroup	0	2	CNL	CN	0	0	0	none
289.1	289	orthogroup	1	5	CNL	CN	0	0	0	none
398	398	orthogroup	0	2	RNL	R	0	0	0	none
23.1	23	orthogroup	1	6	TNL	TNL	0	0	0	both
334	334	orthogroup	0	3	TNL	TNL	0	0	0	none
23.5	23	orthogroup	1	11	TNL	TNL	0	0	0	both
108.1	108	orthogroup	1	6	RNL	R	0	0	0	both
15.1	15	orthogroup	1	10	NL	N	0	0	0	both
99.2	99	orthogroup	1	34	TNL	TNL	0	0	0	simple
174.1	174	orthogroup	1	35	NL	NL	0	0	0	none
78.1	78	orthogroup	1	57	TNL	TNL	56	0	0	none
126.1	126	orthogroup	1	53	NL	N	0	0	0	none
114	114	orthogroup	0	58	NL	N	0	0	0	complex
138.1	138	orthogroup	1	47	TNL	TNL	0	0	0	none
188.2	188	orthogroup	1	24	NL	N	0	0	0	complex
124.1	124	orthogroup	1	48	TNL	TX	0	0	43	none
281.1	281	orthogroup	1	7	TNL	TNL	0	0	0	none
2.30	2	orthogroup	1	4	RNL	R	0	0	0	both
64.1	64	orthogroup	1	57	TNL	TNL	0	0	0	none
139.1	139	orthogroup	1	50	NL	N	0	0	0	none
11.18	11	orthogroup	1	24	TNL	T	0	0	0	both
233.1	233	orthogroup	1	16	TNL	TL	0	0	0	none
190.1	190	orthogroup	1	29	TNL	TNL	0	0	0	none
151.1	151	orthogroup	1	12	RNL	R	0	0	0	both
55.1	55	orthogroup	1	53	RNL	RN	0	0	0	none
2.19	2	orthogroup	1	8	RNL	R	0	0	0	both
13.2	13	orthogroup	1	46	TNL	TN	0	42	0	complex
30.1	30	orthogroup	1	56	TNL	TNL	0	0	0	complex
102.1	102	orthogroup	1	4	TNL	TN	0	0	0	none
311	311	orthogroup	0	3	TNL	T	0	0	1	none
263.1	263	orthogroup	1	8	CNL	CN	0	0	0	none
6.1	6	orthogroup	1	5	CNL	CN	0	0	0	both
21.1	21	orthogroup	1	5	TNL	TNL	5	0	0	complex
216.3	216	orthogroup	1	9	TNL	TNL	0	0	0	complex
228.1	228	orthogroup	1	10	CNL	CN	0	0	0	simple
93.1	93	orthogroup	1	24	NL	N	0	0	0	simple
152.2	152	orthogroup	1	7	CNL	CNL	0	0	0	complex
16.10	16	orthogroup	1	4	NL	NL	0	0	0	both
6.4	6	orthogroup	1	4	CNL	CN	0	0	0	both
54.1	54	orthogroup	1	60	NL	N	0	0	1	simple
119.2	119	orthogroup	1	3	TNL	T	0	0	0	simple
12.3	12	orthogroup	1	4	CNL	CN	0	0	0	complex
58.1	58	orthogroup	1	61	RNL	R	0	0	0	none
10.9	10	orthogroup	1	9	TNL	TNL	0	0	0	complex
248.1	248	orthogroup	1	11	TNL	T	0	0	0	none
148.1	148	orthogroup	1	44	TNL	TNL	0	33	0	none
3.8	3	orthogroup	1	4	CNL	CNL	0	0	0	both
108.2	108	orthogroup	1	20	RNL	R	0	0	0	both
144.1	144	orthogroup	1	48	TNL	T	2	0	0	none
3.19	3	orthogroup	1	8	CNL	CNL	0	0	0	both
335	335	orthogroup	0	3	CNL	CN	0	0	1	none
1.14	1	orthogroup	1	7	TNL	TNL	0	0	0	both
134.6	134	orthogroup	1	9	NL	NL	0	0	0	both
301.1	301	orthogroup	1	4	CNL	CNL	0	0	0	none
153.1	153	orthogroup	1	45	TNL	TNL	0	40	0	none
97.1	97	orthogroup	1	56	CNL	CNL	0	0	0	none
257.1	257	orthogroup	1	9	TNL	TNL	0	0	0	none
177.1	177	orthogroup	1	34	TNL	T	0	0	0	none
122.5	122	orthogroup	1	5	TNL	TN	0	0	0	complex
321.1	321	orthogroup	1	4	NL	NL	0	0	0	none
320.1	320	orthogroup	1	3	TNL	TL	0	0	0	none
106	106	orthogroup	0	60	TNL	TNL	23	1	0	none
326.1	326	orthogroup	1	4	NL	N	0	0	0	none
48.1	48	orthogroup	1	59	TNL	TNL	21	1	0	none
271.1	271	orthogroup	1	7	CNL	CNL	0	0	0	none
37.1	37	orthogroup	1	63	TNL	TNL	0	0	0	none
109.1	109	orthogroup	1	54	CNL	CNL	0	1	0	none
71.1	71	orthogroup	1	57	TNL	TNL	0	0	0	none
104.1	104	orthogroup	1	8	NL	N	0	0	0	complex
21.4	21	orthogroup	1	6	TNL	TNL	6	0	0	complex
234.1	234	orthogroup	1	9	TNL	TN	0	0	0	complex
246.1	246	orthogroup	1	13	TNL	TN	0	0	0	none
180.1	180	orthogroup	1	22	TNL	TNL	0	0	2	both
202.1	202	orthogroup	1	23	TNL	T	0	0	0	none
210.1	210	orthogroup	1	22	CNL	CNL	0	0	0	none
2.22	2	orthogroup	1	12	RNL	R	0	0	0	both
372	372	orthogroup	0	2	TNL	NL	0	0	0	none
146.1	146	orthogroup	1	46	TNL	TN	0	0	0	none
28.1	28	orthogroup	1	59	TNL	TNL	0	0	0	none
259.1	259	orthogroup	1	9	TNL	T	0	0	0	none
135.1	135	orthogroup	1	9	NL	N	0	0	0	both
86.1	86	orthogroup	1	60	TNL	TN	0	0	0	none
337	337	orthogroup	0	3	TNL	TNL	0	0	0	none
3.10	3	orthogroup	1	9	CNL	CNL	0	0	0	both
117.3	117	orthogroup	1	4	RNL	RNX	0	0	4	complex
277.1	277	orthogroup	1	7	TNL	TNL	0	0	0	none
130.1	130	orthogroup	1	54	CNL	CNLX	23	17	33	none
183.1	183	orthogroup	1	31	TNL	TNL	0	0	0	none
7.2	7	orthogroup	1	6	CNL	CNL	0	0	0	complex
9.3	9	orthogroup	1	4	NL	N	0	0	0	complex
9.5	9	orthogroup	1	29	NL	N	0	0	0	complex
12.1	12	orthogroup	1	14	CNL	CN	0	0	0	complex
225.1	225	orthogroup	1	16	TNL	TNL	0	0	0	none
313.1	313	orthogroup	1	5	CNL	CN	0	0	0	none
2.52	2	orthogroup	1	10	RNL	R	0	0	0	both
128.1	128	orthogroup	1	51	TNL	TNL	0	0	2	none
231.1	231	orthogroup	1	15	TNL	T	0	0	0	none
227.1	227	orthogroup	1	18	TNL	T	0	0	0	none
10.2	10	orthogroup	1	23	TNL	TNL	0	0	0	complex
1.1	1	orthogroup	1	3	TNL	TNL	0	0	0	both
135.12	135	orthogroup	1	7	NL	TNL	0	1	0	both
6.7	6	orthogroup	1	6	CNL	CN	0	0	0	both
238.1	238	orthogroup	1	6	NL	NL	0	0	0	complex
181.2	181	orthogroup	1	5	TNL	TNL	0	0	0	complex
4.7	4	orthogroup	1	10	TNL	TNL	0	0	0	both
252.1	252	orthogroup	1	10	CNL	CN	0	0	0	none
6.6	6	orthogroup	1	21	CNL	CN	0	0	0	both
120.7	120	orthogroup	1	22	TNL	TNL	0	3	0	both
46.1	46	orthogroup	1	58	TNL	TNL	0	0	0	none
343	343	orthogroup	0	3	TNL	T	0	2	0	none
242.1	242	orthogroup	1	14	TNL	TN	0	0	0	none
397	397	orthogroup	0	2	TNL	T	1	0	0	none
176.8	176	orthogroup	1	4	TNL	TNL	0	0	0	both
1.27	1	orthogroup	1	4	TNL	TNL	0	0	0	both
212.9	212	orthogroup	1	5	TNL	TNL	0	0	0	both
17.5	17	orthogroup	1	11	NL	N	0	0	0	complex
108.9	108	orthogroup	1	6	RNL	R	0	0	0	both
21.2	21	orthogroup	1	38	TNL	TNL	38	0	14	complex
7.22	7	orthogroup	1	5	CNL	CNL	0	0	0	complex
336	336	orthogroup	0	3	TNL	T	0	0	0	none
1.11	1	orthogroup	1	8	TNL	TNL	0	0	0	both
406	406	orthogroup	0	2	TNL	T	0	0	0	none
