idnew	invariable	pervasive	episodic	posclass
1.10	1	1	0	110
1.13	1	1	1	111
1.14	1	1	1	111
1.15	1	1	1	111
1.18	1	1	1	111
1.21	1	1	1	111
1.22	1	0	1	101
1.23	1	1	1	111
1.27	1	1	1	111
1.5	1	0	0	100
10.2	1	1	0	110
10.3	1	1	1	111
10.5	1	1	0	110
10.7	1	0	1	101
10.8	1	0	1	101
100.1	1	1	1	111
101.1	1	0	1	101
102.10	1	1	0	110
102.2	1	1	0	110
102.4	1	1	0	110
102.8	1	1	0	110
103.1	1	1	0	110
104.1	1	1	0	110
105.1	1	1	1	111
106.1	0	1	1	011
107.1	1	1	1	111
108.1	1	0	0	100
108.12	1	0	0	100
108.16	1	0	0	100
108.8	1	0	0	100
109.1	1	0	1	101
11.10	1	0	0	100
11.14	1	1	0	110
11.16	1	0	0	100
11.2	1	0	0	100
11.20	1	0	0	100
11.23	1	0	0	100
11.8	1	1	0	110
110.1	1	1	1	111
111.1	1	0	0	100
112.1	1	1	1	111
113.1	1	1	1	111
114.1	1	0	1	101
115.1	1	1	1	111
116.1	1	0	0	100
117.1	1	1	1	111
118.1	1	1	0	110
119.1	1	1	0	110
12.1	1	1	0	110
12.11	1	0	0	100
12.2	1	0	1	101
12.3	1	0	0	100
12.4	1	1	0	110
12.5	1	0	0	100
12.7	1	0	0	100
12.8	1	0	0	100
120.1	1	1	1	111
121.1	1	1	0	110
122.1	1	0	1	101
123.1	1	1	0	110
124.1	1	1	1	111
125.1	1	1	0	110
126.1	1	1	0	110
127.1	1	1	1	111
128.1	1	1	1	111
129.1	1	1	0	110
13.1	1	0	0	100
13.10	1	0	0	100
13.5	1	1	1	111
13.7	1	0	0	100
130.1	1	1	1	111
131.1	1	1	0	110
132.1	1	0	0	100
133.1	1	1	1	111
134.11	1	1	0	110
134.4	1	1	0	110
134.5	1	1	0	110
134.8	1	0	0	100
135.1	1	0	1	101
135.10	1	0	0	100
135.11	1	0	0	100
135.13	1	1	0	110
135.2	1	0	0	100
136.1	1	1	1	111
137.1	1	1	1	111
138.1	1	1	1	111
139.1	1	1	1	111
14.1	1	1	1	111
14.2	1	1	0	110
14.3	1	0	0	100
14.4	1	0	0	100
140.1	1	1	1	111
141.1	1	0	1	101
142.1	1	1	1	111
143.1	1	0	1	101
144.1	1	0	0	100
145.1	1	1	1	111
146.1	1	1	1	111
147.1	1	1	0	110
148.1	1	0	1	101
149.1	1	1	1	111
15.1	1	0	1	101
15.2	1	1	0	110
15.3	1	1	1	111
15.4	1	1	1	111
15.6	1	0	1	101
150.1	1	1	0	110
151.1	1	1	0	110
151.10	1	0	0	100
151.12	1	1	0	110
151.7	1	0	0	100
152.1	1	0	0	100
153.1	1	1	1	111
154.1	1	1	1	111
155.1	1	1	1	111
156.1	1	0	0	100
157.1	1	1	0	110
158.1	1	0	0	100
159.1	1	1	1	111
16.10	1	1	0	110
16.11	1	1	1	111
16.2	1	1	1	111
16.3	1	0	1	101
16.6	1	1	1	111
160.1	1	1	1	111
161.1	1	1	1	111
163.3	1	1	1	111
163.7	1	1	0	110
164.1	1	1	0	110
165.5	1	1	1	111
