idnew alnlength idold status use NLRs majorclass majorsubclass pairs putpairs IDs paralogs_ogold nuc.diversity.within hap.diversity.within Pi Tajima.D n.segregating.sites Rozas.R_2 Fu.Li.F Fu.Li.D Fu.F_S Strobeck.S
100.1 3474 100 orthogroup 1 56 TNL TNL 0 0 0 none 0.0686123911930364 1 0.0686123911930364 NA 402 0.0859799760982801 NA NA 4.48989021851508 1
101.1 2736 101 orthogroup 1 56 CNL CN 0 0 0 none 0.0313349511344499 0.964912280701754 0.0313349511344499 -0.135553823925461 499 0.127158275867635 0.259601993811164 0.296610455351568 7.59925413369317 0.00383434779418557
10.2 4011 10 orthogroup 1 23 TNL TNL 0 0 0 complex 0.024526817529733 1 0.024526817529733 -0.556369395857973 469 0.105527443440341 -0.646303670759062 -0.72615864465299 -0.206861300856347 0.999999999999999
102.1 3699 102 orthogroup 1 4 TNL TN 0 0 0 none 0.038545899905361 1 0.038545899905361 -0.459900881210645 611 0.113235581732787 -0.380374751826369 -0.488963391930597 1.10534125525459 1
102.10 3588 102 orthogroup 1 6 TNL TN 0 0 0 none 0.0409755662564651 1 0.0409755662564651 -0.190660608673741 286 0.105686521695377 0.350792431339125 -0.190660608673741 3.22782659947446 1
102.2 3603 102 orthogroup 1 4 TNL TN 0 0 0 none 0.00229885057471264 0.666666666666667 0.00229885057471264 -1.74109586520715 5 0.134164078649987 -1.89886287983255 -2.01006762339229 -2.25975090325872 0.979707065696649
102.3 3603 102 orthogroup 1 5 TNL TN 0 0 0 none 0.0319247034881872 1 0.0319247034881872 -0.217858590170883 289 0.124583657967308 -0.204266099423112 -0.333794679700544 -0.00273314921326946 1
102.6 3543 102 orthogroup 1 21 TNL TNL 0 0 0 none 0.0168334616371568 0.990476190476191 0.0168334616371568 -0.623203210682305 278 0.10165001018495 -0.569653219283603 -0.539206392728616 -0.0441012836953449 0.77153307214445
102.9 3603 102 orthogroup 1 5 TNL TN 0 0 0 none 0.0164925470833567 0.996923076923077 0.0164925470833567 -0.750047345253882 319 0.0931123715219916 -0.837063706544217 -0.794842461714982 -2.44355462174935 0.986201082616648
10.3 3675 10 orthogroup 1 6 TNL TNL 0 0 0 complex 0.0301929625425653 1 0.0301929625425653 -0.62129306984169 181 0.188669786318819 -0.236268023837815 -0.621293069841691 2.03325694793565 1
103.1 1137 103 orthogroup 1 56 NL N 0 0 0 none 0.0350908233073838 1 0.0350908233073838 -0.0112036470037154 182 0.0951621192443227 0.503174744042108 -0.0112036470037149 2.78662404963274 1
104.1 2520 104 orthogroup 1 8 NL N 0 0 0 complex 0.0262561924982307 0.9 0.0262561924982307 0.674869526709836 142 0.202495098772243 0.948653768305411 0.674869526709836 5.16541883184445 0.123768713787045
104.2 2604 104 orthogroup 1 33 NL N 0 0 0 complex 0.0357142857142857 0.952380952380952 0.0357142857142857 0.0111032079186718 371 0.155862628524729 0.174553507667117 -0.0515430767269113 4.98114937350306 0.127578281870167
104.3 2577 104 orthogroup 1 16 NL N 0 0 0 complex 0.0192550505050505 0.888888888888889 0.0192550505050505 0.197934932492077 332 0.158437743318207 0.348766103316341 0.19773425470283 11.8539837760114 0.000206449078441773
10.5 4221 10 orthogroup 1 24 TNL TNL 0 0 1 complex 0.00594906880474829 0.992753623188406 0.00594906880474829 -1.11029093020846 106 0.0842757756991969 -0.799147992763967 -0.582111506006296 -5.50570329979963 0.999415594952806
105.1 3531 105 orthogroup 1 55 TNL TNL 0 0 0 none 0.0222577526331793 0.990990990990991 0.0222577526331793 -0.706062686500728 502 0.0915835023311153 -0.588655127952046 -0.44599515352454 0.843056970147299 0.476050475166608
10.6 3552 10 orthogroup 1 15 TNL TNL 0 0 0 complex 0.0343484224965706 1 0.0343484224965707 -0.622803833417446 284 0.116810162930527 -0.237364347130651 -0.622803833417447 2.49944426475199 1
107.1 3417 107 orthogroup 1 56 TNL TNL 0 0 0 none 0.0433252644791106 0.978021978021978 0.0433252644791106 -0.140350202162303 488 0.131141894329846 -0.448350602330104 -0.655038805903489 4.05186972190552 0.110237040688135
108.1 600 108 orthogroup 1 6 RNL R 0 0 0 both 0.012593272072826 0.96969696969697 0.012593272072826 -2.28412984258405 418 0.141212171256174 -3.43342654779083 -3.46227100560542 2.99009979447178 0.12690783636412
108.10 486 108 orthogroup 1 4 RNL R 0 0 0 both 0.0560271646859083 1 0.0560271646859083 -0.729028349072807 456 0.200009137218179 -0.334489184242981 -0.729028349072808 2.96803396838005 1
108.2 306 108 orthogroup 1 20 RNL R 0 0 0 both 0.0256132756132756 0.7 0.0256132756132756 0.261855950162937 143 0.192612599985152 0.571040193188964 0.261855950162937 9.00711554389994 0.00617086264346538
108.6 306 108 orthogroup 1 15 RNL R 0 0 0 both 0.0147651473040578 0.928571428571429 0.0147651473040578 -0.888123642892836 141 0.156030578922886 -0.715237843695089 -0.883961888780548 4.36971109749742 0.0991268928427779
10.9 3687 10 orthogroup 1 9 TNL TNL 0 0 0 complex 0.00146359312111233 0.666666666666667 0.00146359312111233 2.15628677350037 6 0.333333333333333 2.0726226229033 2.15628677350037 3.52636052461616 0.238095238095238
109.1 2793 109 orthogroup 1 54 CNL CNL 0 1 0 none 0.0254380540094826 0.990476190476191 0.0254380540094826 -0.76097447787618 311 0.108470897672806 -1.0962508213887 -1.15749706399843 0.129538069889019 0.739330526560332
1.1 3906 1 orthogroup 1 3 TNL TNL 0 0 0 both 0.0300194931773879 0.933333333333333 0.0300194931773879 -0.280255355560276 196 0.132296529421516 0.0156993095307642 -0.239588880634762 4.509591651347 0.163629449866167
110.1 3411 110 orthogroup 1 54 TNL TNL 0 17 0 none 0.0182799483749853 1 0.0182799483749853 -0.613995922979389 131 0.177902633577046 -0.335417988203658 -0.617346817729087 1.13322903360821 1
1.11 4596 1 orthogroup 1 8 TNL TNL 0 0 0 both 0.0308863920099875 0.933333333333333 0.0308863920099875 0.151612852741004 184 0.159943250444459 0.39100635979782 0.140411915726605 4.51719762901271 0.163038043151755
111.1 1197 111 orthogroup 1 53 TNL TN 0 0 0 none 0.00890481620242167 0.714285714285714 0.00890481620242168 -1.17960849219726 72 0.18738185998449 -0.909283330085493 -1.11737690731287 5.99788593006384 0.0275680149113099
11.14 627 11 orthogroup 1 4 TNL T 0 0 0 both 0.0355820105820106 1 0.0355820105820106 -0.0197407645851035 250 0.144501182821231 0.290572335601358 0.155305228863836 1.11282701431282 1
11.18 696 11 orthogroup 1 24 TNL T 0 0 0 both 0.0255254056930035 1 0.0255254056930035 -0.510940108438768 196 0.134144484185999 -0.326540214739351 -0.496988372642561 0.726698893085289 1
112.1 3897 112 orthogroup 1 56 TNL TNL 15 3 0 none 0.0188110245952293 1 0.0188110245952293 -0.0641003649765108 117 0.136377990076492 0.207107870774719 -0.0432045672026938 1.10729213523854 1
11.25 630 11 orthogroup 1 8 TNL T 0 0 0 both 0.0182571151643317 0.961538461538462 0.0182571151643317 -1.00421707903154 211 0.143882010883063 -1.34759371948045 -1.48485976719003 1.9573764851141 0.369606753395298
11.29 630 11 orthogroup 1 5 TNL T 0 0 0 both 0.0206998158379374 0.9 0.0206998158379374 -1.20067393114656 139 0.323162552758528 -0.766227437356292 -1.20067393114656 4.64093573771622 0.159170285863525
1.14 4032 1 orthogroup 1 7 TNL TNL 0 0 0 both 0.0434625382360574 0.923076923076923 0.0434625382360574 0.340284078638796 332 0.16138739675881 0.972974532890527 0.98640468946241 7.68129908167199 0.00471679224332607
115.1 2820 115 orthogroup 1 54 CNL CN 0 1 0 none 0.0232846073967569 0.987179487179487 0.0232846073967569 -0.788659248117402 224 0.127802218799638 -1.27308488909579 -1.47483327651629 0.749107077755882 0.705360823907965
116.1 615 116 orthogroup 1 55 RNL R 0 0 0 none 0.0113046400268825 0.980487804878049 0.0113046400268825 -1.70595156325562 234 0.0589818804373803 -0.66854862154982 0.0398006720196191 -1.41417590954262 0.887128784067588
1.17 3696 1 orthogroup 1 4 TNL TNL 0 0 0 both 0.0254212593437223 0.966666666666667 0.0254212593437223 0.078662182569947 218 0.14702631470528 0.889326882421456 0.998412924240706 4.30729397705247 0.0593969082367234
117.2 2880 117 orthogroup 1 46 RNL RNX 0 0 44 complex 0.0184182015167931 0.928774928774929 0.0184182015167931 1.63199733905719 128 0.179179093692675 1.41773654986816 0.959170798154777 5.92172239301537 0.00935930281772861
118.1 696 118 orthogroup 1 50 TNL T 0 0 0 none 0.000261437908496732 0.666666666666667 0.000261437908496732 1.63299316185545 1 3.66666666666667 1.27656947700845 1.63299316185545 0.540024778458254 0.818181818181818
119.1 1422 119 orthogroup 1 50 TNL T 0 0 0 simple 0.00533230634224478 0.972906403940887 0.00533230634224478 -2.25090908495788 129 0.084109131756037 -4.01272907551333 -4.17273780526238 -4.47178737366568 0.996599829110224
119.2 1485 119 orthogroup 1 3 TNL T 0 0 0 simple 0.00714452512537669 0.985221674876847 0.00714452512537669 -1.94785747601209 150 0.0696747815725993 -3.29324925200055 -3.38563574164455 -4.68118950470085 0.997572508061229
120.4 3519 120 orthogroup 1 12 TNL TNL 0 0 0 both 0.0159285285622641 0.988142292490119 0.015928528562264 -1.02121502459953 315 0.0860062764521271 -1.61367989149989 -1.69154532252047 0.378050169638713 0.650198140111262
120.5 2802 120 orthogroup 1 4 TNL TN 0 0 0 both 0.0241995464852608 1 0.0241995464852608 -0.244208062331375 211 0.143593640327394 0.0580817508067385 -0.19266718374728 1.71626053569026 1
120.7 3762 120 orthogroup 1 22 TNL TNL 0 3 0 both 0.00504207739769064 0.981884057971015 0.00504207739769064 -2.50377959502565 211 0.106779218485681 -4.16919004782831 -4.28906262293391 -1.67458475632864 0.933125336404459
12.1 2763 12 orthogroup 1 14 CNL CN 0 0 0 complex 0.0037966537966538 0.990476190476191 0.0037966537966538 -0.371732761395059 48 0.11370501859955 -0.612793348406531 -0.754987151684917 -3.72672676176683 0.997324648709299
121.1 1008 121 orthogroup 1 54 TNL T 0 0 0 none 0.0193623240816081 0.972222222222222 0.0193623240816081 0.000664174090832054 194 0.151258128048895 0.241194633397368 0.11011436313986 2.52438623988852 0.38453366006317
1.22 4083 1 orthogroup 1 5 TNL TNL 0 0 0 both 0.0359862613452692 1 0.0359862613452692 0.0366080713295985 426 0.149396384150394 0.214794370719362 0.0337700084873318 1.70645828515665 1
12.2 2757 12 orthogroup 1 12 CNL CN 0 0 0 complex 0.0363284202569917 1 0.0363284202569917 0.840421605427676 314 0.198242516463935 0.760270901887594 0.462478110248315 1.88544214768235 1
