idnew	domain	domain.length	pos.sites	pos.ratio	class
100.1	PF01582	530	2	0.38	T
101.1	W	1790	2	0.11	W
101.1	PF00931	881	5	0.57	N
102.10	W	2532	4	0.16	W
102.10	PF01582	485	10	2.06	T
102.10	PF00931	586	2	0.34	N
102.2	W	2532	1	0.04	W
102.2	PF01582	485	2	0.41	T
102.4	W	2520	1	0.04	W
102.4	PF01582	485	3	0.62	T
102.8	PF01582	506	1	0.2	T
10.2	W	2826	13	0.46	W
10.2	PF01582	524	22	4.2	T
10.2	PF00931	776	65	8.38	N
103.1	W	511	2	0.39	W
10.3	W	2334	4	0.17	W
10.3	PF01582	524	2	0.38	T
10.3	PF00931	776	29	3.74	N
104.1	W	1771	20	1.13	W
104.1	PF00931	839	69	8.22	N
105.1	W	2181	1	0.05	W
105.1	PF01582	521	10	1.92	T
105.1	PF00931	773	16	2.07	N
10.5	W	2331	4	0.17	W
10.5	PF01582	524	7	1.34	T
10.5	PF00931	761	24	3.15	N
106.1	W	3982	18	0.45	W
106.1	PF00931	686	5	0.73	N
107.1	PF01582	530	1	0.19	T
107.1	PF00931	785	1	0.13	N
108.8	W	127	1	0.79	W
109.1	PF00931	848	1	0.12	N
110.1	W	2049	1	0.05	W
110.1	PF01582	521	7	1.34	T
110.1	PF00931	770	8	1.04	N
1.10	PF01582	539	4	0.74	T
1.10	PF00931	767	5	0.65	N
111.1	PF01582	503	2	0.4	T
11.14	PF01582	521	3	0.58	T
112.1	W	2632	6	0.23	W
112.1	PF01582	501	2	0.4	T
112.1	PF00931	711	7	0.98	N
11.23	PF01582	383	1	0.26	T
113.1	W	5824	2	0.03	W
113.1	PF01582	512	3	0.59	T
1.13	W	3246	2	0.06	W
1.13	PF01582	539	6	1.11	T
1.13	PF00931	776	28	3.61	N
1.14	W	3024	5	0.17	W
1.14	PF01582	539	13	2.41	T
1.14	PF00931	779	19	2.44	N
115.1	W	1882	9	0.48	W
115.1	PF00931	866	4	0.46	N
1.15	PF01582	539	2	0.37	T
1.15	PF00931	782	3	0.38	N
116.1	PF05659	351	1	0.28	R
117.1	W	1222	3	0.25	W
117.1	PF05659	419	2	0.48	R
117.1	PF00931	389	3	0.77	N
118.1	W	268	1	0.37	W
118.1	PF01582	428	4	0.93	T
1.18	W	2907	6	0.21	W
1.18	PF01582	539	5	0.93	T
1.18	PF00931	782	14	1.79	N
11.8	PF01582	527	2	0.38	T
119.1	W	955	4	0.42	W
120.1	W	2430	2	0.08	W
120.1	PF01582	509	2	0.39	T
120.1	PF00931	806	2	0.25	N
12.11	PF00931	857	5	0.58	N
121.1	PF01582	488	2	0.41	T
1.21	W	3126	3	0.1	W
1.21	PF01582	539	9	1.67	T
1.21	PF00931	776	10	1.29	N
12.1	W	1761	1	0.06	W
1.22	PF00931	782	6	0.77	N
123.1	PF01582	551	3	0.54	T
1.23	W	3366	1	0.03	W
1.23	PF01582	569	1	0.18	T
1.23	PF00931	782	4	0.51	N
12.3	W	2424	9	0.37	W
124.1	W	545	1	0.18	W
124.1	PF01582	518	5	0.97	T
12.4	W	1885	2	0.11	W
