Transcript_ID	Gene_ID	Architecture	Collapsed_Arch	Subclass	Combined_Subclasses	Arch_Type	OG_orig_ID	OG_orig_Size	OG	OG_Size	Fusion_Flag	Merged_Flag	Pair_Flag	PutPair_Flag	Truncated_Flag	Pseudogene_Flag	NoEvidence_Flag	CorBound_Flag	CorTrans_Flag	Misassembly_Flag	Delete_Flag	Mod_Flag	Note_Flag	Accession_Name	Origin	Seed_Collection	Sequencing_Facility	Population	Albugo_Phenotype	Assembly_Quality	Expression	Relict_Flag	TE_In_Exons	TE_In_Introns	TEs_2kb_Downstream	TEs_2kb_Upstream	Outlier
10015|T018-R1	10015|G018	TIR,NB,LRR,LRR,LRR	TIR,NB,LRR	TNL	TNL	canonical	281	7	281.1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	97	0	0	0	0	0	0
10015|T022-R1	10015|G022	TIR,NB,LRR,LRR	TIR,NB,LRR	TNL	TNL	canonical	315	4	771	4	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	98	0	0	0	0	0	0
10015|T023-R1	10015|G023	TIR,NB,LRR,LRR	TIR,NB,LRR	TNL	TNL	canonical	16	71	16.2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	96	0	0	0	0	1	0
10015|T024-R1	10015|G024	NB,LRR,LRR	NB,LRR	NL	NL	canonical	16	71	16.3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	95	0	0	0	1	0	0
10015|T026-R1	10015|G026	TIR,NB,LRR,LRR,LRR	TIR,NB,LRR	TNL	TNL	canonical	4	130	4.8	19	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	98	0	0	0	0	0	0
10015|T031-R1	10015|G031	NB,LRR,PF03106	NB,LRR,PF03106	NLX	N(L)X	noncanonical	94	61	94.1	55	0	0	1	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	97	0	0	1	0	0	0
10015|T032-R1	10015|G032	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	80	62	80.1	56	0	0	1	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	97	0	0	0	1	0	0
10015|T035-R1	10015|G035	TIR	TIR	T	T(L)	canonical	177	36	177.1	34	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	0	0	0	0	1	1	0
10015|T036-R1	10015|G036	TIR,NB,LRR,NB	TIR,NB,LRR	TNL	TNL	canonical	113	59	113.1	51	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	1	0	0	0	1	1	0
10015|T040-R1	10015|G040	TIR,NB,LRR	TIR,NB,LRR	TNL	TNL	canonical	100	61	100.1	57	0	0	0	0	0	0	0	0	0	0	0	0	0	Sha	AFG	OTHER	MPI/MPGC_Cologne	asia	GS	37.5979	100	0	0	0	0	0	0
